age,gender,time_spent,platform,interests,location,demographics,profession,income,indebt,isHomeOwner,Owns_Car
56,male,3,Instagram,Sports,United Kingdom,Urban,Software Engineer,19774,True,False,False
46,female,2,Facebook,Travel,United Kingdom,Urban,Student,10564,True,True,True
32,male,8,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,13258,False,False,False
60,non-binary,5,Instagram,Travel,United Kingdom,Urban,Student,12500,False,True,False
25,male,1,Instagram,Lifestlye,Australia,Urban,Software Engineer,14566,False,True,True
38,male,3,Facebook,Travel,United States,Urban,Marketer Manager,19179,True,True,True
56,male,8,YouTube,Sports,United States,Urban,Student,16881,True,True,True
36,male,4,Instagram,Sports,Australia,Urban,Marketer Manager,13636,True,False,True
40,non-binary,7,YouTube,Lifestlye,Australia,Sub_Urban,Marketer Manager,16030,False,False,True
28,non-binary,2,Instagram,Sports,Australia,Sub_Urban,Marketer Manager,10223,True,False,True
28,female,7,YouTube,Lifestlye,United Kingdom,Urban,Student,16297,True,True,False
41,non-binary,5,Facebook,Sports,United States,Sub_Urban,Marketer Manager,10350,False,False,False
53,non-binary,5,Facebook,Sports,Australia,Rural,Student,17314,False,True,True
57,female,6,Instagram,Lifestlye,United Kingdom,Urban,Software Engineer,11928,False,True,False
41,non-binary,9,YouTube,Travel,United States,Rural,Student,17743,True,True,False
20,male,6,Facebook,Sports,United Kingdom,Sub_Urban,Software Engineer,18540,True,True,False
39,male,8,Instagram,Travel,United States,Sub_Urban,Student,14732,True,True,False
19,female,7,Instagram,Sports,United Kingdom,Rural,Marketer Manager,11017,False,True,True
41,female,9,Facebook,Sports,United States,Sub_Urban,Student,12226,False,False,False
61,female,4,Facebook,Sports,United States,Urban,Marketer Manager,17206,False,False,False
47,male,2,Instagram,Sports,United Kingdom,Rural,Software Engineer,17170,False,False,True
55,non-binary,7,YouTube,Travel,Australia,Urban,Student,16207,True,False,True
19,male,6,YouTube,Travel,United States,Rural,Marketer Manager,12419,True,True,True
38,female,1,YouTube,Sports,Australia,Sub_Urban,Software Engineer,16240,True,True,True
50,non-binary,9,Instagram,Sports,United Kingdom,Rural,Software Engineer,11893,True,False,False
29,non-binary,9,Facebook,Travel,Australia,Rural,Student,15322,True,False,True
39,male,2,Instagram,Lifestlye,Australia,Urban,Software Engineer,17718,True,False,False
61,female,3,Facebook,Lifestlye,Australia,Sub_Urban,Marketer Manager,16878,True,False,False
42,male,5,YouTube,Travel,Australia,Urban,Software Engineer,11125,True,False,True
44,non-binary,5,YouTube,Sports,Australia,Sub_Urban,Software Engineer,13117,False,False,True
59,male,1,Facebook,Sports,United States,Urban,Marketer Manager,14161,False,False,True
45,male,8,Facebook,Lifestlye,United States,Rural,Software Engineer,14042,True,False,True
33,female,8,Instagram,Lifestlye,United States,Urban,Software Engineer,14433,False,True,True
32,female,4,YouTube,Travel,United Kingdom,Sub_Urban,Software Engineer,18638,True,True,True
